Record #:  0
Notes :


24.06.201715:18:34
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
267,791748E-6	-7,916260E-3	-5,829954E-3	2,854156E-3	-9,496117E-3	-6,092262E-3	-9,540749E-3	2,547312E-3
266,933441E-6	-7,894325E-3	-5,827618E-3	2,860737E-3	-9,517622E-3	-6,107187E-3	-9,573174E-3	2,541733E-3
267,457962E-6	-7,879257E-3	-5,818176E-3	2,863693E-3	-9,545374E-3	-6,122160E-3	-9,549236E-3	2,534008E-3
268,936157E-6	-7,878733E-3	-5,805302E-3	2,855349E-3	-9,544230E-3	-6,127214E-3	-9,608984E-3	2,519655E-3
268,316269E-6	-7,878447E-3	-5,804729E-3	2,856350E-3	-9,515619E-3	-6,102371E-3	-9,617519E-3	2,517128E-3
267,982483E-6	-7,878160E-3	-5,816317E-3	2,869940E-3	-9,497595E-3	-6,088686E-3	-9,548664E-3	2,524805E-3
269,269943E-6	-7,885981E-3	-5,820370E-3	2,880383E-3	-9,477901E-3	-6,068087E-3	-9,517813E-3	2,533627E-3
269,603729E-6	-7,897711E-3	-5,833054E-3	2,877045E-3	-9,460974E-3	-6,053591E-3	-9,541941E-3	2,532959E-3
268,745422E-6	-7,901001E-3	-5,848455E-3	2,874565E-3	-9,458828E-3	-6,056404E-3	-9,570599E-3	2,530813E-3
267,553329E-6	-7,900095E-3	-5,854607E-3	2,882147E-3	-9,475470E-3	-6,054926E-3	-9,559250E-3	2,530670E-3
267,791748E-6	-7,894945E-3	-5,859900E-3	2,883005E-3	-9,485579E-3	-6,069565E-3	-9,471560E-3	2,521563E-3
267,267227E-6	-7,891035E-3	-5,875063E-3	2,880287E-3	-9,501505E-3	-6,093597E-3	-9,513187E-3	2,512598E-3
267,601013E-6	-7,868576E-3	-5,863428E-3	2,891111E-3	-9,506226E-3	-6,095409E-3	-9,618473E-3	2,516460E-3
267,934799E-6	-7,844830E-3	-5,827522E-3	2,891588E-3	-9,517860E-3	-6,096601E-3	-9,590006E-3	2,517843E-3
267,887115E-6	-7,830477E-3	-5,789185E-3	2,886724E-3	-9,503555E-3	-6,071520E-3	-9,563780E-3	2,519512E-3
268,268585E-6	-7,812452E-3	-5,769634E-3	2,885723E-3	-9,487867E-3	-6,065655E-3	-9,588861E-3	2,518082E-3
267,648697E-6	-7,806873E-3	-5,767202E-3	2,886772E-3	-9,465504E-3	-6,054401E-3	-9,581423E-3	2,522421E-3
266,981125E-6	-7,812071E-3	-5,764294E-3	2,865219E-3	-9,453487E-3	-6,041002E-3	-9,564924E-3	2,504873E-3
267,744064E-6	-7,823896E-3	-5,765915E-3	2,852154E-3	-9,464073E-3	-6,045151E-3	-9,540129E-3	2,486658E-3
267,648697E-6	-7,814646E-3	-5,773735E-3	2,861595E-3	-9,474421E-3	-6,060505E-3	-9,569502E-3	2,483177E-3
268,125534E-6	-7,795954E-3	-5,771923E-3	2,868843E-3	-9,489822E-3	-6,072950E-3	-9,581327E-3	2,481508E-3
267,553329E-6	-7,789564E-3	-5,762625E-3	2,857447E-3	-9,523010E-3	-6,107903E-3	-9,600878E-3	2,464294E-3
267,267227E-6	-7,778358E-3	-5,750942E-3	2,855396E-3	-9,542513E-3	-6,130266E-3	-9,582567E-3	2,460289E-3
268,268585E-6	-7,775831E-3	-5,748224E-3	2,861834E-3	-9,524679E-3	-6,104326E-3	-9,545994E-3	2,467346E-3
268,125534E-6	-7,777405E-3	-5,745220E-3	2,869654E-3	-9,476328E-3	-6,053400E-3	-9,571028E-3	2,480507E-3
267,601013E-6	-7,774544E-3	-5,728197E-3	2,870607E-3	-9,462070E-3	-6,036043E-3	-9,592152E-3	2,479696E-3
268,697739E-6	-7,774544E-3	-5,707550E-3	2,855968E-3	-9,467363E-3	-6,035662E-3	-9,590197E-3	2,468824E-3
268,316269E-6	-7,772970E-3	-5,693293E-3	2,833605E-3	-9,471035E-3	-6,038904E-3	-9,557438E-3	2,447748E-3
267,696381E-6	-7,772303E-3	-5,697775E-3	2,826166E-3	-9,481621E-3	-6,057787E-3	-9,570932E-3	2,436066E-3
267,648697E-6	-7,774353E-3	-5,707216E-3	2,826023E-3	-9,481668E-3	-6,057644E-3	-9,596872E-3	2,430677E-3
266,885757E-6	-7,780027E-3	-5,719280E-3	2,824020E-3	-9,487057E-3	-6,064844E-3	-9,559917E-3	2,427244E-3
267,887115E-6	-7,777977E-3	-5,730820E-3	2,835894E-3	-9,497833E-3	-6,074476E-3	-9,615898E-3	2,431583E-3
268,173218E-6	-7,768917E-3	-5,731392E-3	2,850246E-3	-9,510088E-3	-6,082106E-3	-9,590769E-3	2,437496E-3
267,791748E-6	-7,766581E-3	-5,729389E-3	2,851439E-3	-9,498072E-3	-6,072617E-3	-9,571505E-3	2,438450E-3
267,314911E-6	-7,766867E-3	-5,715895E-3	2,844620E-3	-9,478331E-3	-6,050158E-3	-9,597015E-3	2,437019E-3
267,553329E-6	-7,763195E-3	-5,703926E-3	2,838564E-3	-9,467697E-3	-6,036615E-3	-9,604740E-3	2,435207E-3
266,695023E-6	-7,763958E-3	-5,699730E-3	2,836847E-3	-9,440184E-3	-6,014967E-3	-9,543276E-3	2,441216E-3
266,647339E-6	-7,763433E-3	-5,692577E-3	2,827597E-3	-9,424734E-3	-6,001043E-3	-9,513092E-3	2,438736E-3
267,076492E-6	-7,764387E-3	-5,681133E-3	2,816439E-3	-9,441614E-3	-6,025362E-3	-9,526157E-3	2,428913E-3
267,314911E-6	-7,764196E-3	-5,678892E-3	2,813864E-3	-9,450531E-3	-6,042767E-3	-9,558678E-3	2,425957E-3
267,553329E-6	-7,762671E-3	-5,689907E-3	2,817440E-3	-9,450388E-3	-6,040525E-3	-9,555197E-3	2,427006E-3
267,744064E-6	-7,770729E-3	-5,702209E-3	2,818346E-3	-9,465551E-3	-6,056023E-3	-9,535646E-3	2,422285E-3
267,601013E-6	-7,779694E-3	-5,715513E-3	2,833557E-3	-9,488249E-3	-6,072235E-3	-9,531212E-3	2,437973E-3
267,934799E-6	-7,775831E-3	-5,702782E-3	2,839899E-3	-9,495258E-3	-6,080818E-3	-9,557009E-3	2,443314E-3
267,791748E-6	-7,781458E-3	-5,693865E-3	2,822685E-3	-9,473467E-3	-6,057882E-3	-9,553003E-3	2,431536E-3
267,410278E-6	-7,795620E-3	-5,680180E-3	2,802038E-3	-9,473562E-3	-6,059122E-3	-9,596634E-3	2,419758E-3
267,457962E-6	-7,812548E-3	-5,686331E-3	2,786541E-3	-9,454346E-3	-6,042242E-3	-9,632826E-3	2,418327E-3
267,362595E-6	-7,824135E-3	-5,694675E-3	2,778292E-3	-9,435987E-3	-6,018829E-3	-9,601068E-3	2,421665E-3
268,220901E-6	-7,835293E-3	-5,716515E-3	2,777529E-3	-9,433079E-3	-6,016827E-3	-9,496737E-3	2,420902E-3
267,410278E-6	-7,848120E-3	-5,734777E-3	2,779484E-3	-9,435606E-3	-6,022358E-3	-9,505701E-3	2,423239E-3
268,602371E-6	-7,862186E-3	-5,745840E-3	2,773571E-3	-9,455967E-3	-6,048632E-3	-9,475803E-3	2,414417E-3
268,745422E-6	-7,862616E-3	-5,754566E-3	2,779770E-3	-9,475565E-3	-6,073380E-3	-9,529543E-3	2,407598E-3
268,507004E-6	-7,847595E-3	-5,730724E-3	2,789640E-3	-9,497166E-3	-6,084776E-3	-9,599876E-3	2,412415E-3
269,746780E-6	-7,838249E-3	-5,712605E-3	2,785873E-3	-9,491158E-3	-6,074953E-3	-9,523106E-3	2,421904E-3
269,556046E-6	-7,837057E-3	-5,701351E-3	2,780962E-3	-9,468031E-3	-6,050873E-3	-9,534550E-3	2,425814E-3
268,220901E-6	-7,844734E-3	-5,713224E-3	2,793980E-3	-9,443951E-3	-6,035900E-3	-9,567785E-3	2,443361E-3
267,934799E-6	-7,871962E-3	-5,719566E-3	2,771902E-3	-9,445524E-3	-6,048203E-3	-9,551954E-3	2,432823E-3
268,745422E-6	-7,898188E-3	-5,719852E-3	2,748632E-3	-9,445620E-3	-6,048298E-3	-9,579611E-3	2,420807E-3
267,887115E-6	-7,902908E-3	-5,716562E-3	2,741766E-3	-9,452343E-3	-6,054688E-3	-9,603834E-3	2,405548E-3
267,696381E-6	-7,914591E-3	-5,729866E-3	2,733040E-3	-9,469986E-3	-6,074476E-3	-9,628153E-3	2,390051E-3
267,648697E-6	-7,928705E-3	-5,754375E-3	2,736092E-3	-9,472227E-3	-6,073380E-3	-9,533548E-3	2,397919E-3
269,937515E-6	-7,945204E-3	-5,785465E-3	2,753401E-3	-9,471273E-3	-6,070900E-3	-9,540987E-3	2,415895E-3
269,460678E-6	-7,955980E-3	-5,809879E-3	2,765703E-3	-9,472466E-3	-6,077337E-3	-9,541178E-3	2,421618E-3
267,601013E-6	-7,968378E-3	-5,819798E-3	2,760029E-3	-9,478569E-3	-6,087255E-3	-9,577417E-3	2,413845E-3
268,077850E-6	-7,977772E-3	-5,827236E-3	2,765083E-3	-9,472895E-3	-6,079531E-3	-9,575224E-3	2,426624E-3
268,077850E-6	-7,975149E-3	-5,831718E-3	2,784204E-3	-9,461689E-3	-6,066036E-3	-9,519339E-3	2,446556E-3
267,887115E-6	-7,981110E-3	-5,838490E-3	2,782249E-3	-9,440374E-3	-6,044960E-3	-9,476614E-3	2,451563E-3
268,411636E-6	-7,985497E-3	-5,839014E-3	2,767611E-3	-9,427118E-3	-6,034613E-3	-9,472942E-3	2,449036E-3
267,887115E-6	-7,976389E-3	-5,817461E-3	2,753925E-3	-9,438324E-3	-6,046343E-3	-9,508467E-3	2,435493E-3
268,697739E-6	-7,958460E-3	-5,799723E-3	2,757931E-3	-9,442663E-3	-6,047726E-3	-9,536505E-3	2,434826E-3
268,173218E-6	-7,943153E-3	-5,794621E-3	2,767134E-3	-9,444666E-3	-6,049585E-3	-9,538746E-3	2,438021E-3
268,554687E-6	-7,937050E-3	-5,803442E-3	2,787638E-3	-9,447908E-3	-6,057692E-3	-9,524107E-3	2,448559E-3
267,982483E-6	-7,927561E-3	-5,817461E-3	2,801943E-3	-9,474087E-3	-6,088448E-3	-9,516001E-3	2,454233E-3
